"TID","EN","AR","CN","CNT","DE","ES-419","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI","UK"
"TID_NANO_LUMI_1_DESC","Main Attack is <c00cc00>+<VALUE>%</c> bigger","حجم الهجوم الأساسي: <c00cc00>+‏<VALUE>‏%‏</c>","普通攻击体积<c00cc00>+<VALUE>%</c>","普通攻擊體積<c00cc00>+<VALUE>%</c>","Hauptattacke ist <c00cc00><VALUE> %</c> größer","Ataque principal: <c00cc00><VALUE> %</c> mayor","El ataque principal es un <c00cc00><VALUE> %</c> mayor","Päähyökkäys on <c00cc00>+<VALUE> %</c> suurempi.","L'attaque principale est <c00cc00><VALUE> %</c> plus grande","ההתקפה העיקרית גדולה יותר ב-<c00cc00>+%<VALUE></c>","Serangan dasar <c00cc00>+<VALUE>%</c> lebih besar","Ampiezza dell'attacco base <c00cc00>+<VALUE>%</c>","通常攻撃のサイズ<c00cc00>+<VALUE>％</c>","일반 공격이 <c00cc00>+<VALUE>%</c> 더 커집니다.","Serangan utama adalah <c00cc00>+<VALUE>%</c> lebih besar","Hoofdaanval is <c00cc00><VALUE>%</c> groter.","<c00cc00><VALUE>%</c> większy podstawowy atak","Ataque principal <c00cc00><VALUE>%</c> maior","<c00cc00>+<VALUE> %</c> к размеру основной атаки.","การโจมตีพื้นฐานใหญ่ขึ้น <c00cc00>+<VALUE>%</c>","Temel saldırısı <c00cc00>+%<VALUE></c> büyür.","Đòn tấn công chính to hơn <c00cc00><VALUE>%</c>.","Основна атака на <c00cc00><VALUE>%</c> більша"
"TID_NANO_LUMI_2_DESC","Super area is <c00cc00>+<VALUE>%</c> larger","حجم منطقة الزخم: <c00cc00>+‏<VALUE>‏%‏</c>","超级技能范围<c00cc00>+<VALUE>%</c>","超級技能範圍<c00cc00>+<VALUE>%</c>","Superskill-Bereich ist <c00cc00><VALUE> %</c> größer","Área del superataque: <c00cc00><VALUE> %</c> mayor","El área del súper es un <c00cc00><VALUE> %</c> mayor","Superin alue on <c00cc00>+<VALUE> %</c> suurempi.","La zone du super est <c00cc00><VALUE>%</c> plus large","שטח תכונת הסופר גדול יותר ב-<c00cc00>+%<VALUE></c>","Area Super <c00cc00>+<VALUE>%</c> lebih besar","Area della super <c00cc00>+<VALUE>%</c>","必殺技の範囲<c00cc00>+<VALUE>％</c>","특수 공격의 범위가 <c00cc00>+<VALUE>%</c> 증가합니다.","Kawasan Super adalah <c00cc00>+<VALUE>%</c> lebih besar","Supergebied is <c00cc00><VALUE>%</c> groter.","<c00cc00><VALUE>%</c> większy obszar superataku","Área do Super <c00cc00><VALUE>%</c> maior","<c00cc00>+<VALUE> %</c> к области действия Супера.","พื้นที่ท่าไม้ตายใหญ่ขึ้น <c00cc00>+<VALUE>%</c>","Süper alanı <c00cc00>+%<VALUE></c> genişler.","Khu vực Tuyệt chiêu lớn hơn <c00cc00><VALUE>%</c>.","Зону супердії збільшено на <c00cc00><VALUE>%</c>"
"TID_NANO_LUMI_3_DESC","All projectiles travel <c00cc00>+<VALUE>%</c> faster","سرعة كل القذائف: <c00cc00>+‏<VALUE>‏%‏</c>","所有子弹的飞行速度<c00cc00>+<VALUE>%</c>","所有子彈的飛行速度<c00cc00>+<VALUE>%</c>","Alle Projektile fliegen <c00cc00>+<VALUE> %</c> schneller","Velocidad de los proyectiles: <c00cc00>+<VALUE> %</c>","Velocidad de los proyectiles <c00cc00>+<VALUE> %</c>","Kaikki ammukset liikkuvat <c00cc00>+<VALUE> %</c> nopeammin.","Tous les projectiles se déplacent <c00cc00><VALUE> %</c> plus vite","כל הקליעים טסים מהר יותר ב-<c00cc00>%<VALUE></c>","Semua proyektil melesat <c00cc00>+<VALUE>%</c> lebih cepat","Velocità di tutti i colpi <c00cc00>+<VALUE>%</c>","すべての弾速<c00cc00>+<VALUE>％</c>","모든 투사체가 <c00cc00>+<VALUE>%</c> 더 빠르게 날아갑니다.","Semua projektil bergerak <c00cc00>+<VALUE>%</c> lebih pantas","Alle projectielen gaan <c00cc00><VALUE>%</c> sneller.","<c00cc00><VALUE>%</c> szybsze pociski","Todos os projéteis <c00cc00><VALUE>%</c> mais rápidos","<c00cc00>+<VALUE> %</c> к скорости всех снарядов.","การโจมตีทั้งหมดเดินทางเร็วขึ้น <c00cc00>+<VALUE>%</c>","Tüm mermiler <c00cc00>+%<VALUE></c> hızlanır.","Tất cả đạn bay nhanh hơn <c00cc00><VALUE>%</c>.","Усі снаряди летять на <c00cc00><VALUE>%</c> швидше"
"TID_NANO_MELODIE_3_DESC","Notes orbit <c00cc00><VALUE2>%</c> faster","سرعة دوران النغمات: ‏<c00cc00>+‏<VALUE2>‏%‏</c>","音符环绕速度提升<c00cc00><VALUE2>%</c>","音符環繞速度提升<c00cc00><VALUE2>%</c>","Tempo von umkreisenden Noten ist <c00cc00><VALUE2> %</c> schneller","Las notas orbitan a su alrededor un <c00cc00><VALUE2> %</c> más rápido.","Las notas orbitan un <c00cc00><VALUE2> %</c> más deprisa","Nuotit kiertävät <c00cc00><VALUE2> %</c> nopeammin.","Les notes tournent <c00cc00><VALUE2> %</c> plus vite","התווים חגים <c00cc00>%<VALUE2></c> מהר יותר","Not berputar <c00cc00><VALUE2>%</c> lebih cepat","Le note orbitano il <c00cc00><VALUE2>%</c> più velocemente","音符の周回速度<c00cc00>+<VALUE2>％</c>","음표의 회전 속도가 <c00cc00><VALUE2>%</c> 더 빨라집니다.","Not mengorbit <c00cc00><VALUE2>%</c> lebih pantas","Noten draaien <c00cc00><VALUE2>%</c> sneller om Melodie heen.","Nuty orbitują o <c00cc00><VALUE2>%</c> szybciej","As notas orbitam <c00cc00><VALUE2>%</c> mais rápido","<c00cc00>+<VALUE2> %</c> к скорости вращения нот.","โน้ตเพลงหมุนรอบตัวเร็วขึ้น <c00cc00><VALUE2>%</c>","Notaların etrafında dönüş hızı <c00cc00>%<VALUE2></c> artar.","Nốt nhạc quay vòng nhanh hơn <c00cc00><VALUE2>%</c>.","Ноти обертаються на <c00cc00><VALUE2>%</c> швидше"
"TID_NANO_PEARL_3_DESC","Heat builds up <c00cc00>+<VALUE>%</c> faster","سرعة تراكم السخونة: <c00cc00>+‏<VALUE>‏‏%‏</c>","热量积累速度<c00cc00>+<VALUE>%</c>","熱能累積速度<c00cc00>+<VALUE>%</c>","Hitze wird <c00cc00><VALUE> %</c> schneller aufgebaut","El calor se acumula un <c00cc00><VALUE> %</c> más rápido.","El calor se acumula un <c00cc00><VALUE> %</c> más deprisa","Lämpö nousee <c00cc00>+<VALUE> %</c> nopeammin.","La chaleur monte <c00cc00><VALUE> %</c> plus vite","החום מצטבר ב-<c00cc00>+%<VALUE></c> מהר יותר","Panas terkumpul <c00cc00>+<VALUE>%</c> lebih cepat","Velocità di accumulo del calore <c00cc00>+<VALUE>%</c>","熱の上昇速度<c00cc00>+<VALUE>％</c>","열 게이지가 <c00cc00>+<VALUE>%</c> 더 빠르게 충전됩니다.","Haba terkumpul <c00cc00>+<VALUE>%</c> lebih pantas","Hitte bouwt <c00cc00><VALUE>%</c> sneller op.","Ciepło rośnie <c00cc00><VALUE>%</c> szybciej","Aquecimento <c00cc00><VALUE>%</c> mais rápido","<c00cc00>+<VALUE> %</c> к скорости нарастания жара.","สะสมความร้อนเร็วขึ้น <c00cc00>+<VALUE>%</c>","Isı <c00cc00>+%<VALUE></c> daha hızlı artar.","Tích nhiệt nhanh hơn <c00cc00><VALUE>%</c>.","Жар накопичується на <c00cc00><VALUE>%</c> швидше"
"TID_NANO_PIPER_3_DESC","Deals up to <c00cc00>+<VALUE>%</c> damage at max range","تُلحق ضررًا يصل إلى <c00cc00>+<VALUE>‏%‏</c> في أقصى نطاق","最大射程时造成的伤害最高<c00cc00>+<VALUE>%</c>","最大射程時造成的傷害最高<c00cc00>+<VALUE>%</c>","Verursacht bis zu <c00cc00>+<VALUE> %</c> Schaden bei max. Reichweite","Inflige hasta un <c00cc00><VALUE> %</c> más de daño a máximo alcance.","Inflige hasta un <c00cc00><VALUE> %</c> más de daño en el alcance máximo","Tekee <c00cc00>+<VALUE> %</c> tuhoa enimmäisetäisyydellä.","Inflige jusqu'à <c00cc00>+<VALUE> %</c> de dégâts à la portée max","נגרם עד <c00cc00>%<VALUE></c> נזק בטווח מקסימלי","Memberikan hingga <c00cc00>+<VALUE>%</c> kerusakan pada jarak maks.","Causa fino al <c00cc00><VALUE>%</c> in più di danni alla massima distanza","最大距離でのダメージが最大<c00cc00>+<VALUE>％</c>","최대 사정거리에서 최대 <c00cc00>+<VALUE>%</c>의 피해를 입힙니다.","Menyebabkan sehingga <c00cc00>+<VALUE>%</c> kerosakan pada jarak maksimum","Brengt tot <c00cc00><VALUE>%</c> extra schade toe op max. afstand.","Zadaje o <c00cc00><VALUE>%</c> więcej obrażeń na maksymalnym dystansie","Causa até <c00cc00><VALUE>%</c> a mais de dano no alcance máximo","До <c00cc00>+<VALUE> %</c> к урону на макс. дистанции.","สร้างความเสียหายที่ระยะสูงสุด <c00cc00>+<VALUE>%</c>","Maksimum menzilde <c00cc00>%<VALUE></c> oranına kadar daha fazla hasar verir.","Gây thêm <c00cc00><VALUE> %</c> sát thương ở cự li tối đa","Завдає до <c00cc00><VALUE>%</c> більше ушкодження на максимальній дальності"
"TID_NANO_STU_1_DESC","Every hit reloads <c00cc00>0.5</c> ammo","كل إصابة تعيد تعبئة <c00cc00>0.5</c> من الذخيرة","每次命中可装填<c00cc00>0.5</c>发弹药","每次命中可裝填<c00cc00>0.5</c>發彈藥","Jeder Treffer lädt <c00cc00>0,5</c> Munition nach","Cada disparo recarga <c00cc00>0,5</c> de munición.","Recarga <c00cc00>0,5</c> de munición con cada golpe","Jokainen osuma lataa <c00cc00>0.5</c> ammusta.","Chaque tir recharge <c00cc00>0,5</c> munition","כל פגיעה מטעינה מחדש <c00cc00>0.5</c> תחמושת","Setiap serangan mengisi <c00cc00>0,5</c> amunisi","Ogni attacco a segno ricarica <c00cc00>mezzo</c> colpo","攻撃がヒットするたびに弾を<c00cc00>0.5</c>発リロード","공격이 적에게 명중할 때마다 탄환이 <c00cc00>0.5</c>씩 재장전됩니다.","Setiap serangan mengisi semula <c00cc00>0.5</c> peluru","Elke treffer herlaadt <c00cc00>0,5</c> munitie.","Każde trafienie przeładowuje <c00cc00>0,5</c> szt. amunicji","Cada acerto recarrega <c00cc00>0,5</c> de munição","Каждое попадание восстанавливает <c00cc00>0,5</c> боеприпаса.","ทุกครั้งที่โจมตีถูกจะบรรจุกระสุน <c00cc00>0.5</c> นัด","Her isabet <c00cc00>0,5</c> cephane doldurur.","Mỗi lần tấn công trúng mục tiêu sẽ nạp lại <c00cc00>0,5</c> đạn.","Кожне влучання відновлює <c00cc00>0,5</c> од. боєзапасу"
"TID_NANO_TICK_3_DESC","Head size increased, Health <c00cc00>+<VALUE1></c> and damage <c00cc00>+<VALUE3>%</c>","يكبر حجم الرأس، الصحة <c00cc00>+<VALUE1></c> والضرر <c00cc00>+<VALUE3>%</c>","爆炸头变得更大，生命值<c00cc00>+<VALUE1></c>、伤害<c00cc00>+<VALUE3>%</c>","爆炸頭變得更大，生命值<c00cc00>+<VALUE1></c>、傷害<c00cc00>+<VALUE3>%</c>","Kopfgröße erhöht, TP <c00cc00>+<VALUE1></c> und Schaden <c00cc00>+<VALUE3> %</c>","El tamaño de la cabeza aumenta, su salud aumenta en <c00cc00><VALUE1></c> y el daño un <c00cc00><VALUE3> %</c>.","La cabeza es más grande, su salud aumenta en <c00cc00><VALUE1></c> y el daño, un <c00cc00><VALUE3> %</c>","Pään koko kasvaa, elinvoima <c00cc00>+<VALUE1></c> ja tuhovoima <c00cc00>+<VALUE3> %</c>.","Taille de la tête augmentée, PV <c00cc00>+<VALUE1> %</c> et dégâts <c00cc00>+<VALUE3> %</c>","הראש גדל, הבריאות משתפרת ב-<c00cc00>+<VALUE1></c> והנזק גדל ב-<c00cc00>+%<VALUE3></c>","Ukuran kepala membesar, Kesehatan <c00cc00>+<VALUE1></c>, dan kerusakan <c00cc00>+<VALUE3>%</c>","Testa: dimensioni aumentate, salute <c00cc00>+<VALUE1></c> e danni <c00cc00>+<VALUE3>%</c>","頭が巨大化し、HP<c00cc00>+<VALUE1></c>＆ダメージ<c00cc00>+<VALUE3>％</c>","머리의 크기가 커지며 HP는 <c00cc00>+<VALUE1></c>, 피해량은 <c00cc00>+<VALUE3>%</c> 증가합니다.","Saiz kepala meningkat, nyawa <c00cc00>+<VALUE1></c> dan kerosakan <c00cc00>+<VALUE3>%</c>","Hoofd is groter, gezondheid <c00cc00>+<VALUE1>%</c> en schade <c00cc00>+<VALUE3>%</c>.","Większa głowa, <c00cc00>+<VALUE1></c> PŻ i o <c00cc00><VALUE3>%</c> większe obrażenia","Cabeça maior, <c00cc00>+<VALUE1></c> de saúde e dano <c00cc00><VALUE3>%</c> maior","Голова больше, <c00cc00>+<VALUE1> очк.</c> к запасу здоровья и <c00cc00>+<VALUE3> %</c> к урону.","ขนาดหัวใหญ่ขึ้น พลังชีวิต <c00cc00>+<VALUE1></c> หน่วย และความเสียหาย <c00cc00>+<VALUE3>%</c>","Kafa boyutu büyür, sağlığı <c00cc00><VALUE1></c> ve hasarı <c00cc00>%<VALUE3></c> artar.","Tăng kích cỡ của chiếc đầu, máu <c00cc00>tăng <VALUE1>%</c> và sát thương <c00cc00>tăng <VALUE3>%</c>","Розмір голови збільшено. Здоров’я збільшено на <c00cc00><VALUE1></c> од., а ушкодження — на <c00cc00><VALUE3>%</c>"
"TID_NANO_PIERCE_1_DESC","Last ammo shot pierces and is <c00cc00>+<VALUE>%</c> larger","تخترق طلقة الذخيرة الأخيرة وحجمها أكبر بنسبة <c00cc00><VALUE>%</c>","最后一发子弹可穿透敌人，且体积<c00cc00>+<VALUE>%</c>","最後一發子彈可穿透敵人，且體積<c00cc00>+<VALUE>%</c>","Letzter Schuss vorm Nachladen durchstößt Gegner und ist <c00cc00><VALUE> %</c> größer","El último disparo atraviesa y es un <c00cc00><VALUE> %</c> mayor.","El último proyectil atraviesa y es un <c00cc00><VALUE> %</c> mayor","Viimeinen ammuttu ammus lävistää ja on <c00cc00>+<VALUE> %</c> suurempi.","La dernière munition peut transpercer les ennemis et elle est <c00cc00><VALUE> %</c> plus grande","יריית התחמושת האחרונה חודרת וגדולה יותר ב-<c00cc00>+%<VALUE></c>","Tembakan amunisi terakhir menembus dan jadi <c00cc00>+<VALUE>%</c> lebih besar","L'ultimo colpo perfora i nemici ed è il <c00cc00><VALUE>%</c> più grande","通常攻撃の最後の弾が障害物を貫通＆サイズ<c00cc00>+<VALUE>％</c>","마지막 탄환으로 발사한 공격이 상대를 관통하며 크기가<c00cc00>+<VALUE>%</c> 더 커집니다.","Tembakan peluru terakhir menembusi dan <c00cc00>+<VALUE>%</c> lebih besar","Pierce's laatste schot van zijn munitie doorboort vijanden en is <c00cc00><VALUE>%</c> groter.","Ostatni pocisk przeszywa i jest o <c00cc00><VALUE>%</c> większy","O último disparo perfura os inimigos e é <c00cc00><VALUE>%</c> maior","<c00cc00>+<VALUE> %</c> к размеру последнего боеприпаса. Его снаряд пробивает врагов.","กระสุนนัดสุดท้ายยิงเจาะทะลุและใหญ่ขึ้น <c00cc00>+<VALUE>%</c>","Son cephaneyle yapılan atış hedefleri delip geçer ve <c00cc00>+%<VALUE></c> büyür.","Viên đạn cuối cùng sẽ bắn xuyên qua mục tiêu và to hơn <c00cc00><VALUE>%</c>.","Останній постріл пробиває перешкоди та збільшується на <c00cc00><VALUE>%</c>"
"TID_NANO_GIGI_1_DESC","Max ammo <c00cc00>+<VALUE>%</c>","الذخيرة القصوى: <c00cc00>+<VALUE>%</c>","最大弹药量<c00cc00>+<VALUE>%</c>","最大彈藥量<c00cc00>+<VALUE>%</c>","Maximale Munition <c00cc00>+<VALUE> %</c>","Munición máxima: <c00cc00>+<VALUE> %</c>","Munición máxima <c00cc00>+<VALUE> %</c>","<c00cc00>+<VALUE> %</c> ammusten enimmäismäärään.","Munitions max <c00cc00>+<VALUE> %</c>","תחמושת מקסימלית גדלה ב-<c00cc00>+%<VALUE></c>","Amunisi maks. <c00cc00>+<VALUE></c>","Colpi massimi <c00cc00>+<VALUE>%</c>","最大弾数<c00cc00>+<VALUE>％</c>","최대 탄환이 <c00cc00><VALUE>%</c> 늘어납니다.","Peluru maksimum <c00cc00>+<VALUE>%</c>","Max. munitie <c00cc00>+<VALUE></c>.","<c00cc00>+<VALUE>%</c> maks. amunicji","<c00cc00>+<VALUE>%</c> de munição máxima","<c00cc00>+<VALUE> %</c> к максимальному запасу боеприпасов.","กระสุนสูงสุด <c00cc00>+<VALUE>%</c>","Maksimum cephane <c00cc00>+%<VALUE></c>.","Số đạn tối đa <c00cc00>tăng <VALUE>%</c>.","Макс. боєзапас збільшено на <c00cc00><VALUE>%</c>"
"TID_NANO_NAJIA_3_DESC","Taking damage spawns a Snake every <c00cc00><VALUE_2></c> seconds","التعرض للضرر ينتج ثعبانًا كل <c00cc00><VALUE_2></c> ث","每隔<c00cc00><VALUE_2></c>秒，受到伤害时会召唤一条毒蛇","每隔<c00cc00><VALUE_2></c>秒，受到傷害時會召喚一條毒蛇","Erleiden von Schaden lässt alle <c00cc00><VALUE_2></c> Sekunden eine Schlange erscheinen","Al recibir daño, aparece una serpiente cada <c00cc00><VALUE_2></c> segundo(s).","Al recibir daño, genera una serpiente cada <c00cc00><VALUE_2></c> s","Kutsuu vahinkoa kärsiessään käärmeen joka <c00cc00><VALUE_2>.</c> sekunti.","Subir des dégâts fait invoquer un serpent toutes les <c00cc00><VALUE_2></c> s","ספיגת נזק מייצרת נחש כל <c00cc00><VALUE_2></c> שניות","Menerima kerusakan akan mengerahkan ular setiap <c00cc00><VALUE_2></c> detik","Quando Najia subisce danni, genera un serpente ogni <c00cc00><VALUE_2></c> s","<c00cc00><VALUE_2></c>秒に一度、ダメージを受けた際にヘビを召喚する","피해를 입으면 <c00cc00><VALUE_2></c>초마다 뱀 한 마리를 소환합니다.","Mengambil kerosakan akan mewujudkan ular setiap <c00cc00><VALUE_2></c> saat","Roept elke <c00cc00><VALUE_2></c> sec. een slang op als Najia schade opneemt.","Otrzymywanie obrażeń przyzywa węża co <c00cc00><VALUE_2></c> s","Receber dano gera 1 cobra a cada <c00cc00><VALUE_2></c>s","При получении урона призывает змею каждые <c00cc00><VALUE_2></c> с.","ทุกๆ <c00cc00><VALUE_2></c> วินาทีเมื่อได้รับความเสียหายจะปล่อยงูหนึ่งตัว","Hasar aldığında <c00cc00><VALUE_2></c> saniyede bir yılan çağırır.","Khi nhận sát thương sẽ thả ra một con Rắn mỗi <c00cc00><VALUE_2></c> giây.","Після отримання ушкодження кожні <c00cc00><VALUE_2></c> с. створює змію"
"TID_VAULT_TAIL_REWARD_SUBTITLE_REGIONAL_COMPLIANCE","Get a bonus reward for every","تحصل على مكافأة إضافية عن كل","每次都可获取额外奖励，只需","每次都可獲取額外獎勵，只需","Gewährt eine Bonusbelohnung für alle","Obtén una recompensa extra por cada","Gana una recompensa extra por cada","Saat bonuspalkinnon jokaista","Récompense bonus tous les","קבלו פרס בונוס על כל","Dapatkan hadiah bonus untuk setiap","Guadagna un premio bonus per ogni","次の条件でボーナス報酬を獲得：","다음을 달성할 때마다 보너스 보상 획득 가능","Dapat ganjaran bonus untuk setiap","Krijg een bonusbeloning voor elke","Dodatkowa nagroda za każde","Ganhe uma recompensa bônus a cada","Получай бонусные награды за каждые","รับรางวัลโบนัสทุกๆ","Başına bonus ödül kazanırsın:","Nhận phần thưởng thêm cho mỗi","Отримай бонусну нагороду за"
"TID_CYBERNOODLES_JAE_YONG_CHROMA_2_SKIN","CHOOM JAE-YONG","جاي يونج تشوم","未来舞者载勇","未來舞者載勇","CHOOM JAE-YONG","JAE-YONG CHOOM","JAE-YONG CHUM","CHOOM-JAE-YONG","JAE-YONG CHOOM","צ'ום ג'יי יונג","JAE-YONG CHOOM","JAE-YONG CHOOM","CHOOM ジェヨン","춤 재용","JAE-YONG CHOOM","CHOOM-JAE-YONG","JAE-YONG CHOOM","JAE-YONG CHOOM","ЧУМБА ДЖЭ ЁН","นักเต้น แจยอง","CHOOM JAE-YONG","JAE-YONG CHOOM","ЧУМ ДЖЕ-ЙОН"
"TID_CYBERNOODLES_SHELLY_SKIN","CYBER SHELLY","شيلي السيبرانية","赛博雪莉","賽博雪莉","CYBER SHELLY","CIBERSHELLY","CIBERSHELLY","KYBER-SHELLY","CYBER SHELLY","סייבר שלי","SHELLY CYBER","CYBERSHELLY","サイバー シェリー","사이버 쉘리","SHELLY SIBER","CYBER-SHELLY","CYBER SHELLY","SHELLY CIBERNÉTICA","КИБЕРШЕЛЛИ","ไซเบอร์เชลลี่","SİBER SHELLY","SHELLY CÔNG NGHỆ CAO","КІБЕР ШЕЛЛІ"
"TID_CYBERNOODLES_SHELLY_SHOP","CYBER\nSHELLY","شيلي\nالسيبرانية","赛博雪莉","賽博雪莉","CYBER\nSHELLY","CIBERSHELLY","CIBERSHELLY","KYBER-\nSHELLY","CYBER\nSHELLY","סייבר\nשלי","SHELLY\nCYBER","CYBERSHELLY","サイバー\nシェリー","사이버 쉘리","SHELLY\nSIBER","CYBER-\nSHELLY","CYBER\nSHELLY","SHELLY\nCIBERNÉTICA","КИБЕРШЕЛЛИ","ไซเบอร์\nเชลลี่","SİBER\nSHELLY","SHELLY\nCÔNG NGHỆ CAO","КІБЕР\nШЕЛЛІ"
"TID_KATANA_KINGDOM_MICO_SKIN","MASTER MICO","ميكو المعلم","宗师米科","宗師米可","MEISTER MICO","MICO SENSÉI","MICO SENSEI","TAITURI-MICO","MAÎTRE MICO","מאסטר מיקו","MASTER MICO","MICO SENSEI","師範代 ミコ","마스터 미코","MAHAGURU MICO","MEESTER MICO","MISTRZ MICO","MICO SENSEI","МАСТЕР МИКО","ปรมาจารย์มิโก้","USTA MICO","MICO CAO THỦ","МАЙСТЕР МІКО"
"TID_KATANA_KINGDOM_MICO_SHOP","MASTER\nMICO","ميكو\nالمعلم","宗师米科","宗師米可","MEISTER\nMICO","MICO\nSENSÉI","MICO\nSENSEI","TAITURI-\nMICO","MAÎTRE\nMICO","מאסטר\nמיקו","MASTER\nMICO","MICO\nSENSEI","師範代 ミコ","마스터 미코","MAHAGURU\nMICO","MEESTER\nMICO","MISTRZ\nMICO","MICO\nSENSEI","МАСТЕР\nМИКО","ปรมาจารย์\nมิโก้","USTA\nMICO","MICO\nCAO THỦ","МАЙСТЕР\nМІКО"
"TID_WINDSTOCK_BYRON_CHROMA_1_SKIN","UNEARTHED BYRON","بايرون عالم البيئة","无土栽培拜伦","水耕大師","AUSGEGRABENER BYRON","BYRON ENERGÍA LIMPIA","BYRON AMBIENTALISTA","ESIIN KAIVETTU BYRON","BYRON ÉCOLOGISTE","ביירון החופר","BYRON SAHABAT BUMI","BYRON EMISSIONI ZERO","掘り出し物 バイロン","토양 마스터 바이런","BYRON PENGGALI","HERFST-BYRON","WYKOPANY BYRON","BYRON AMBIENTALISTA","НЕЗЕМНОЙ БАЙРОН","เจ้าแห่งผืนดิน ไบรอน","TOPRAKTAN ÇIKMIŞ BYRON","BYRON KHAI QUẬT","ВИКОПАНИЙ БАЙРОН"
"TID_WINDSTOCK_BYRON_CHROMA_1_SHOP","UNEARTHED\nBYRON","بايرون\nعالم البيئة","无土栽培拜伦","水耕大師","AUSGEGRABENER\nBYRON","BYRON\nENERGÍA LIMPIA","BYRON\nAMBIENTALISTA","ESIIN KAIVETTU\nBYRON","BYRON\nÉCOLOGISTE","ביירון\nהחופר","BYRON\nSAHABAT BUMI","BYRON\nEMISSIONI ZERO","掘り出し物\nバイロン","토양 마스터 바이런","BYRON\nPENGGALI","HERFST-\nBYRON","WYKOPANY\nBYRON","BYRON\nAMBIENTALISTA","НЕЗЕМНОЙ\nБАЙРОН","เจ้าแห่งผืนดิน\nไบรอน","TOPRAKTAN ÇIKMIŞ\nBYRON","BYRON\nKHAI QUẬT","ВИКОПАНИЙ\nБАЙРОН"
"TID_COLLAB_NANO_POWERS_SIDE_QUEST_SUBTITLE","COMPLETE <Brawler> SIDE QUESTS!","أكمل <Brawler> من المهام الجانبية!","完成<Brawler>支线任务！","完成<Brawler>支線任務！","SCHLIESSE <Brawler>-SIDEQUESTS AB!","COMPLETA MISIONES SECUNDARIAS DE <Brawler>","COMPLETA MISIONES SECUNDARIAS DE <Brawler>","SUORITA RÄMÄPÄÄN <Brawler> SIVUTEHTÄVIÄ!","TERMINEZ LES QUÊTES SECONDAIRE POUR <Brawler> !","השלימו <Brawler> קווסטים צדדיים!","SELESAIKAN MISI SAMPINGAN <Brawler>!","COMPLETA LE MISSIONI SECONDARIE DI <Brawler>","<Brawler>のサイドクエストを完了","<Brawler> 사이드 퀘스트를 완료하세요!","SELESAIKAN MISI SAMPINGAN <Brawler>!","VOLTOOI <Brawler> ZIJMISSIES!","WYKONAJ MISJE POBOCZNE DLA: <Brawler>!","CONCLUA MISSÕES SECUNDÁRIAS DE <Brawler>","<Brawler>: ПРОЙДИ ПОБОЧНЫЕ КВЕСТЫ!","ทำเควสต์รองของ <Brawler> ให้เสร็จ!","<Brawler> YAN GÖREVLERİNİ TAMAMLA!","HOÀN THÀNH NHIỆM VỤ PHỤ CHO <Brawler>!","ВИКОНАЙ ДОДАТКОВІ КВЕСТИ (<Brawler>)!"
